Question,Cognitive_Category,,,,
Compare waterfall model and spiral model.,Analyze,,,,
What is Agility ? Describe Extreme programming process ?,Understand,,,,
What do you understand by process maturity ?,Understand,,,,
Prepare software requirement specification (SRS) for course management system.,Create,,,,
Draw DFD Level 0 1 and 2 for course management system and explain.,Apply,,,,
Which life cycle model would you follow for developing following project and why? (i) Library Management System (ii) Web Applications,Evaluate,,,,
(b) List three common types of risks that a typical software project might suffer from. Give the RMMM plan for the same.,Apply,,,,
(a) Describe the activities of project scheduling and tracking.,Understand,,,,
(b) What is quality assurance ? Discuss various levels of quality assurance in software engineering,Understand,,,,
(a) What is baseline in the content of software configuration management ? ,Remember,,,,
Describe how version control and change control are carried out during SCM?,Understand,,,,
(b) What are the main advantages of using an object-oriented approach to software design over a function oriented approach ?,Apply,,,,
(a) Explain the user interface design process.,Understand,,,,
(b) Explain the term unit testing integration testing. Also compare top-down and bottom-up testing.,Evaluate,,,,
Write a short note on (a)Service-oriented software engineering (b) Reverse engineering (c) Empirical estimation techniques (d) Test driven development.,Understand,,,,
Justify any five guidelines of metrics with respect to your project of choice. Explain it with suitable diagrams. Of above project of choice ? ,Evaluate,,,,
How would you reduce the maintenance cost of software and increase the re-usability ,Create,,,,
Design a RMMM plan for a database project. Explain the plan with atleast five risks and analyse the same.,Create,,,,
What is the importance of change control ? Explain it with configuration items and baselines. ,Understand,,,,
What are the different tasks of software configuration management ? ,Understand,,,,
Justify the requirement of object oriented software Engineering. Which tests play important role in object oriented context ? ,Evaluate,,,,
List and explain the fundamental concepts for software design.,Understand,,,,
Which tests are carried out during verification and validation ? Explain in detail. ,Understand,,,,
Explain the different techniques of software requirement analysis. ,Understand,,,,
Discuss the software project planning with the help of SRS. ,Apply,,,,
List and explain the activities of version control. ,Understand,,,,
Explain basis path testing and cyclometric complex with example and diagram.,Understand,,,,
Write short notes on (any two) :—(a) User interface design principles (b) Impirical estimation model (c) CMM. ,Understand,,,,
A system is designed for evaluation of various tenders received by an 20 organization. It had various steps like data entry of bids tabulation of bids preparation of lowest bid document entry of actual orders with actual prices negotiated preparation of a 'deviation document that will record all differences between lowest bid and actual orders. The entire system was built under text based UNIX and is being proposed to be changed to a GUI and windows based system. Draw data flow diagram (level 0 1 2 and control flow diagram describing all details. ,Create,,,,
Explain Software Configuration Management in detail. ,Understand,,,,
Compare and Contrast Coupling and Cohesion. ,Understand,,,,
Explain risk identification risk projection RMMM plan in detail.,Understand,,,,
Explain how Ganntt-chart can be used for planning and controlling small Projects with suitable example? What are the limitations of Gantt-Chart ? ,Apply,,,,
Explain various steps involved in SRS for case study in question no. one. ,Understand,,,,
What is feasibility study? Explain its types contents and purpose.,Understand,,,,
Explain the difference between (1) White Box and Black Box Testing (ii) Component Based Model and Spiral Model. ,Understand,,,,
Describe project scheduling and tracking with any suitable example. ,Understand,,,,
Explain in detail software project plan with case study in question no. one. ,Create,,,,
Write Short Notes on any two (a) CMM and Key Process Areas (b) Security engineering (c) Reengineering (d) Design Concepts and Principles . ,Understand,,,,
Define Metrics. Describe process and project metrics.,Understand,,,,
What is Agility ? Define the principal to achieve agility.,Remember,,,,
What is functional and non-functional requirement of SRS ?,Remember,,,,
What are the advantages of test driven development ? ,Remember,,,,
Explain incremental process model with suitable example.,Understand,,,,
Explain change control in detail along with software configuratioin items and baseline,Understand,,,,
Explain different steps in requirement engineering.,Understand,,,,
Discuss and compare coupling and cohesion in brief. ,Understand,,,,
What test is carried during validation and verification ? Explain with example.,Analyze,,,,
 List and explain the fundamental concepts for software design.,Understand,,,,
Explain different types of maintenance with suitable example.,Understand,,,,
What is quality Assurance ? What are different parameters of Quality ?,Remember,,,,
What are the risks associated with software projects ? How do project managers manage such risks ? ,Apply,,,,
List down and explain the activities of scheduling and tracking for Library management system. ,Apply,,,,
Write a short notes on any two : (a) Re-engineering. (b) Security Engineering. (c) White Box and Black Box Testing. (d) CMM and Key Process Areas. ,Understand,,,,
Discuss incremental process model and evolutionary process model with reference to the suitability of the project.,Evaluate,,,,
Explain how size oriented metrics differs from function oriented metrics. Give example when each are recommended. ,Evaluate,,,,
Give software requirement specification (SRS) for developing a software for payroll management system.,Apply,,,,
 Workout data flow diagram and control flow diagram in detail respect to payroll management system.,Apply,,,,
Explain the various levels of quality assurance in software Engineering with reference to different parameters of quality.,Analyze,,,,
What is configuration audit? How change in managed in web applications? ,Understand,,,,
 Discuss and compare TDD (Test driven development) and DDT (design driven testing).,Analyze,,,,
 What activities are carried out during FTR and status reporting and why? ,Understand,,,,
List down and explain the activities carried out during scheduling and tracking.,Understand,,,,
Discuss the cases where change control and version control are required with its purposes. ,Apply,,,,
Compare the conventional approach and object oriented approach to software development with suitability.,Understand,,,,
What is requirement of risk analysis. What are the possible risks that may affect the scheduling? How you can overcome the same? ,Analyze,,,,
Write short noe on:—(a) SCRUM and CRYSTAL (b) Design concepts and principles (c) Coupling and cohesion (d) Gantt chart ,Understand,,,,
What are the different tasks of Software Configuration Management (SCM) ? Discuss each in brief.,Understand,,,,
What do you understand by Quality Assurance ? Explain the Levels of Quality Assurance.,Understand,,,,
What is Feasibility Study ? Explain its type contents and purpose. ,Understand,,,,
What do you understand by metrics ? List and explain Process and Project metrics,Understand,,,,
Compare and contrast coupling and cohesion.,Understand,,,,
Explain the user interface Design Process.,Understand,,,,
Explain the difference between White Box and Black Box testing. ,Understand,,,,
What are the advantages of Object Oriented Software Engineering ?,Remember,,,,
Give a Software Requirement Specification (SRS) for deyeloping a Software for Hospital Management System.,Create,,,,
Describe Project Scheduling and tracking with any suitable example.,Understand,,,,
Expiain agile methodology using SCROM.  ,Apply,,,,
Explain requirement engineering.      ,Understand,,,,
Write short notes on any four of the following :-   (a) Software Tools for Analysis  (b) Re-engineering (c) Architectural Styles  (d) Software Project Planning  (e) RAD and Spiral Models,Understand,,,,
Enlist and explain the steps require to perform cost estimation using COCOMO model ? ,Understand,,,,
Give a Software Requirement Specification (SRS) for developing a software for Payroll Management System ,Create,,,,
Explain Software Configuration Management and Change Control Management in detail.,Understand,,,,
Explain CMM along with the Level and activities with each revel. ,Understand,,,,
Explain how Gantt-chart can be used for planning and controlling small projects with example ? What are the limitations of Gantt-chart ? ,Apply,,,,
Explain risk identification risk projection RMMM plan in detail.,Understand,,,,
What do you understand by Quality Assurance ? Explain the levels of Quality Assurance.,Understand,,,,
Explain Basic path testing and Cyclomatic complexity in detail. ,Understand,,,,
Compare conventional approach and object oriented approach to software development ? What are the advantages of OOAD ?,Analyze,,,,
What is feasible study ? Explain its types contents and purpose. ,Understand,,,,
 Explain how project scheduling and tracking is done for a software development project ? ,Apply,,,,
Describe data flow and control flow diagram with suitable example. ,Understand,,,,
Distinguish between :—(a) White Box and Black Box Testing (b) Coupling and Cohesion (c) RAD and Spiral Model (d) FP Based and LCC Based Cost Estimation.,Understand,,,,
Define Software Engineering. Explain the importance of Software Engineering.,Understand,,,,
Explain the incremental model with advantages and disadvantages.,Understand,,,,
What is software myth ? Give an example.,Understand,,,,
Explain the Extreme Programming Process.,Understand,,,,
Explain how component based development reduces the time of software development ?,Analyze,,,,
What are the disadvantages of the water fall model ?,Remember,,,,
Explain the data flow diagram with an example.,Understand,,,,
Explain the elements of an analysis model.,Understand,,,,
Give the use case diagram for ‘Library book issue system’. Write the scope of the system.,Apply,,,,
Explain the elements of an activity diagram with an example.,Understand,,,,
Explain any two architectural styles.,Understand,,,,
Explain modularity and information hiding in software design.,Understand,,,,
What is component level design ?,Remember,,,,
Explain the user interface design process.,Understand,,,,
How functional independence is achieved in software design ?,Understand,,,,
What do you mean by application accessibility and internationalization in user interface design ?,Remember,,,,
What is software testing ? Explain the software testing strategies.,Understand,,,,
How test cases are derived in basis path testing ?,Evaluate,,,,
What do you mean by performance testing ?,Remember,,,,
Explain and compare incremental integration testing strategies.,Understand,,,,
Explain the debugging tactics.,Understand,,,,
What is acceptance testing ?,Remember,,,,
Explain the function point method for estimation.,Understand,,,,
Explain the Make-buy decision with an example.,Understand,,,,
How problem based estimation is carried out ? Explain with an example.,Understand,,,,
Give different team structures for software development team.,Remember,,,,
Explain the following in brief. i) Risk assessment ii) SCM repository.,Understand,,,,
What is work break down structure ? How this is used in task network of project scheduling ?,Apply,,,,
Explain any four quality measures of software.,Understand,,,,
Explain the tracking of software development schedule.,Understand,,,,
What do you mean by software myths ? State the myths and facts for software developer.,Remember,,,,
Explain the prototyping model with its advantages and disadvantages.,Understand,,,,
State the activities of spiral model.,Remember,,,,
Explain the water fall model with V model.,Understand,,,,
Explain the component development model with activities.,Understand,,,,
Give the need of different process models in software development.,Evaluate,,,,
Explain the analysis model elements with models created in each.,Understand,,,,
State and explain any four requirements engineering tasks.,Understand,,,,
Give the actors use cases and use case diagram for “Online mobile order and purchase system”. Write the scope of the system.,Apply,,,,
Explain the elements of Data flow diagram with an example.,Understand,,,,
Explain the architectural context diagram with an example.,Understand,,,,
Explain the types of design classes.,Understand,,,,
Differentiate between design and architecture,Analyze,,,,
State and explain any four design principles.,Understand,,,,
Explain the user interface design process.,Understand,,,,
What is layered architecture ?,Remember,,,,
What is software testing ? Explain the software testing strategy for software development.,Understand,,,,
Explain the debugging process.,Understand,,,,
What is the need of stubs and drivers in software testing ?,Remember,,,,
Explain the integration testing approaches.,Understand,,,,
What do you mean by performance testing and recovery testing ?,Understand,,,,
Differentiate between verification and validation.,Understand,,,,
Explain the computation of function point metric for project estimation with an example.,Understand,,,,
Explain any four quality measures of software.,Understand,,,,
What is LOC based estimation ? Explain with an example,Understand,,,,
Explain COCOMO model for project estimation.,Understand,,,,
Write short notes for the following : i) Risk table ii) Change control process.,Understand,,,,
Explain the software configuration management process.,Understand,,,,
What is a task network ? How it is used in scheduling of software project ?,Understand,,,,
Explain the risk identification and assessment process for a software project,Understand,,,,
What do you mean by working and throwaway prototypes? Explain how they are used in prototyping model? ,Understand,,,,
Explain the water fall model with its advantages and disadvantages. ,Understand,,,,
State the generic process framework activities. ,Remember,,,,
Explain the phases of unified process model. ,Understand,,,,
State the myths of the practitioner and the realities.,Remember,,,,
Why is the formal methods model used in critical software development?,Analyze,,,,
Explain the scenario based modeling with an example.,Understand,,,,
Give the scope and modeling of association and dependencies between the classes for a Payroll Management System.,Analyze,,,,
State and explain the methods for eliciting requirements. ,Understand,,,,
What is the significance of data flow modeling? Create level one DFD for an ATM system.,Create,,,,
Explain the quality attributes considered in software design.,Understand,,,,
What are the characteristics of a well formed design class?,Remember,,,,
Differentiate between abstraction and refinement.,Understand,,,,
Explain the user interface design steps. ,Understand,,,,
What are the design principles for reducing the user's memory load in user interface design? ,Create,,,,
 Explain in brief call and return architecture. ,Understand,,,,
What is unit testing? Explain the unit testing process. ,Understand,,,,
Explain the strategic approach to software testing.,Understand,,,,
Compare the software testing with debugging.  ,Analyze,,,,
Basis path testing is covers all statements in a program module. Justify with example. ,Evaluate,,,,
Explain any two system testing methods. ,Understand,,,,
Differentiate between white box and black box testing.,Understand,,,,
What do you mean by software project estimation? Explain the process based estimation with an example.,Apply,,,,
Explain defect removal efficiency as a metric for project and process.,Apply,,,,
What is empirical estimation model? Explain with any one technique.,Understand,,,,
Explain the decision tree technique for make/buy decision. ,Understand,,,,
Write short notes for the following : i)  Risk identification.  ii) Software configuration process.,Understand,,,,
Discuss the techniques used in tracking the project schedule.,Understand,,,,
What is time line chart? How it is used in scheduling of software  project?,Apply,,,,
Explain the change control process in software configuration process.,Understand,,,,
Define software engineering. What are the software characteristics ? What are the various categories of software ?,Remember,,,,
State and explain customer’s myths.,Remember,,,,
Explain in detail software crises.,Understand,,,,
What is software process model ? Explain the incremental process model.,Understand,,,,
Explain in detail process pattern.,Understand,,,,
What are the management myths ?,Remember,,,,
Explain the scenario based elements of analysis model in detail.,Understand,,,,
Explain in detail requirement engineering task.,Understand,,,,
What are the characteristics that requirement must meet ?,Remember,,,,
Draw and explain the traceability table for requirement management.,Understand,,,,
Describe two real time situation in which the customer and the end-user is same. Describe two situation in which they are different.,Analyze,,,,
What are the design quality guidelines ?,Remember,,,,
What are the elements in data design ? What are the guidelines for the data design ?,Understand,,,,
Explain the Web Application Architecture.,Understand,,,,
What are the interface design principles and guidelines ?,Understand,,,,
What is importance of testing practices ? What are the principles of testing practices ?,Understand,,,,
Explain in detail : 1) Top-down integration testing 2) Bottom-up testing.,Understand,,,,
What is cyclomatic complexity ? How is it determined for a flow graph ? Illustrate with example.,Apply,,,,
Explain following testing types 1) Validation testing  2) Acceptance testing  3) Smoke testing process.,Understand,,,,
What are the categories of stakeholders ? What are the characteristics of effective project manager ?,Remember,,,,
What are the attributes of effective software metrics ? Explain in detail Defect Removal Efficiency.,Understand,,,,
How do you measure software quality in terms of maintainability and integrity ?,Evaluate,,,,
What is Object Oriented metric ?,Remember,,,,
Explain size oriented metric ? What data should we collect to derive size oriented metrics ?,Understand,,,,
What are the software quality factors ? Explain any four.,Understand,,,,
What are the types of risks ? Explain in brief.,Understand,,,,
What is configuration audit ? What is status reporting ?,Remember,,,,
Write short note on :  1) RMMM   2) Change control process,Understand,,,,
Explain the waterfall model with work products of each activity.,Understand,,,,
What is Software Engineering? Explain the layered approach to Software Engineering.,Understand,,,,
Explain the following terms in brief. 1. Software Crisis  2. Legacy Software 3. Stakeholder 4. Software myth,Understand,,,,
Compare the agile and evolutionary process models with a specific process model for each.,Analyze,,,,
Create the swimlane diagram for monitoring of sensor in a Safehome security system’ from control panel.,Create,,,,
How use cases are used in modeling requirements?,Apply,,,,
What are the workproducts of Elicitation?,Remember,,,,
Explain the elements of requirements model.,Understand,,,,
How do you model the data objects?,Create,,,,
Write a CRC for the class ‘Email system user’.,Create,,,,
Explain the following design concepts. i. Refinement ii. Modularity iii. Architecture,Understand,,,,
Explain the elements of design model.,Understand,,,,
Compare data flow and data centered architecture.,Analyze,,,,
Give the architecture context diagram for room temperature monitor system.,Create,,,,
Explain the following.  i. Smoke testing ii. Regression Testing,Understand,,,,
Explain the debugging process.,Understand,,,,
How do you ensure the completion of testing?,Evaluate,,,,
Explain the graph matrix and loop testing methods.,Understand,,,,
How Object oriented testing differs from conventional testing strategies?,Analyze,,,,
What do you mean by acceptance testing?,Understand,,,,
Differentiate between measure and metric. What is GQM paradigm for software measurement?,Understand,,,,
How do you calculate FP and how it is used in estimation of a software project?,Apply,,,,
Explain the role of people process and product in project Management.,Understand,,,,
How do you measure quality of software? Explain with any two quality metrics.,Apply,,,,
Explain the risk identification and assessment activities.,Understand,,,,
How task network is used in scheduling of a software project?,Apply,,,,
Explain the software configuration management process.,Understand,,,,
Explain how do you track the progress of an object oriented project?,Understand,,,,
Define software engineering. How software engineering is different from hardware engineering ? Justify.,Evaluate,,,,
Explain process pattern template with an example.,Understand,,,,
What do you mean by evolutionary process models ? Explain spiral model as an evolutionary process model.,Apply,,,,
Explain how extreme programming process supports agility with its framework activities ?,Analyze,,,,
What are requirements engineering tasks ? Explain the elicitation process using quality function deployment,Apply,,,,
Explain the analysis model with its elements.,Understand,,,,
How use cases can be used to model the requirements ? Write an usecase for ‘login’ with a template and diagram.,Apply,,,,
What do you mean by flow modeling ? Explain data flow modeling with an example,Understand,,,,
Explain the following design concepts i) Modularity ii) Architecture,Understand,,,,
What are the different types of design classes ?,Remember,,,,
Explain any two architectural styles with respect to program structure.,Understand,,,,
Explain the user interface design issues.,Understand,,,,
What do you mean by software architecture ? Explain the system context diagram elements with an example.,Understand,,,,
Explain the user interface design process.,Understand,,,,
Define software testing. Explain the unit testing strategy.,Understand,,,,
What is system testing ? Explain any two system testing strategies,Understand,,,,
Explain the following : i) Condition testing ii) Loop testing.,Understand,,,,
Differentiate white box and black box testing. Explain the graph based testing method as a black box testing method.,Understand,,,,
Explain the role of people product and process in project management,Understand,,,,
Differentiate and explain size and function oriented metrics,Understand,,,,
Explain the FP based estimation technique.,Understand,,,,
Explain the concept of make buy decision using decision tree analysis.,Apply,,,,
What is software project estimation ? How use cases are used in estimation ?,Apply,,,,
How do you measure software quality in terms of maintainability and integrity ?,Evaluate,,,,
What is a task network in project scheduling ? Explain with an example,Understand,,,,
How risk projection is carried out using risk table ?,Apply,,,,
What is software configuration management ? Explain the change control mechanism in software configuration management,Understand,,,,
Explain earned value analysis in project scheduling,Understand,,,,
What is a software process model? Explain the types of software process models.,Understand,,,,
Explain the key challenges facing software engineering.,Understand,,,,
With a neat block diagram explain the systems engineering process activities.,Understand,,,,
With a neat block diagram explain the spiral process model,Understand,,,,
Define dependability. Also explain briefly the four principle dimensions of dependability.,Understand,,,,
With appropriate block diagram explain briefly the requirement engineering process for software specification activities,Understand,,,,
For the set of tasks shown below draw the project scheduling using i) Activity chart. ii) Gantt / Bar chart. iii) Staff allocation versus time chart. Assuming start date of project as 01 Nov.2014.,Apply,,,,
Draw a state machine model of a simple microwave oven.,Apply,,,,
Draw a sequence diagram for withdrawing money from ATM.,Apply,,,,
Write the IEEE format of writing SRS.,Understand,,,,
Differentiate between: i) User requirements and system requirements. ii) Functional requirements and non-functional requirements.,Understand,,,,
Explain briefly the techniques of requirements discovery.,Understand,,,,
List the system structuring styles and explain the repository model with a block diagram.,Understand,,,,
With a neat block diagram explain the object oriented decomposition for invoice processing sub-system.,Apply,,,,
Explain briefly: i) Call-Return control model. ii) Broadcast control model.,Understand,,,,
With appropriate block diagram explain briefly extreme programming process model.,Understand,,,,
With appropriate block diagram explain the system evolution process.,Understand,,,,
Explain briefly the software inspection process,Understand,,,,
With a neat block diagram explain the verification and validation process (V-model).,Understand,,,,
Perform the path testing for the following program flow graph by computing Cyclomatic complexity,Apply,,,,
Write short notes on: a. Legacy system.   b. COCOMO model.  c. Capability maturity model   d.  Software testing process,Understand,,,,
Define software software engineering software process.,Remember,,,,
What are attributes of good software?,Remember,,,,
Explain two types of emergent properties?,Understand,,,,
Explain System dependability.,Understand,,,,
Explain process iteration.,Understand,,,,
Give Software Requirement Document (IEEE STANDARD).,Remember,,,,
Explain requirement validation.,Understand,,,,
Explain structured methods.,Understand,,,,
Explain risk management.,Understand,,,,
Explain system organization.,Understand,,,,
Give state diagram for weather station and explain design evaluation.,Apply,,,,
Explain extreme programming.,Understand,,,,
Give Lehman's Law.,Remember,,,,
Explain clean room software development.,Understand,,,,
Explain component Testing.,Understand,,,,
Give factors governing staff selection.,Evaluate,,,,
Name factors affecting software engineering productivity and cost estimation techniques.,Remember,,,,
What is software? Explain the essential attributes of a good software.,Understand,,,,
List and explain any five software engineering code of ethics and professional practices.,Understand,,,,
Describe briefly the phases of the system engineering process with a neat diagram.,Understand,,,,
Define critical systems. Explain the four principle dimensions of system dependability.,Understand,,,,
Briefly discuss the reliability terminologies and mention the approaches to system reliability enhancement.,Understand,,,,
What is software process? With a neat diagram explain the software design process activities, in detail.,Understand,,,
